135 Airways,\N,GNL,GENERAL,US,N
1Time Airline,1T,RNX,NEXTIME,SF,Y
2 Sqn No 1 Elementary Flying Training School,\N,WYT,\N,UK,N
213 Flight Unit,\N,TFU,\N,RS,N
223 Flight Unit State Airline,\N,CHD,CHKALOVSK-AVIA,RS,N
224th Flight Unit,\N,TTF,CARGO UNIT,RS,N
247 Jet Ltd,\N,TWF,CLOUD RUNNER,UK,N
3D Aviation,\N,SEC,SECUREX,US,N
40-Mile Air,Q5,MLA,MILE-AIR,US,Y
4D Air,\N,QRT,QUARTET,TH,N
611897 Alberta Limited,\N,THD,DONUT,CA,N
Ansett Australia,AN,AAA,ANSETT,AS,Y
Abacus International,1B,\N,,SN,Y
Abelag Aviation,W9,AAB,ABG,BE,N
Army Air Corps,\N,AAC,ARMYAIR,UK,N
Aero Aviation Centre Ltd.,\N,AAD,SUNRISE,CA,N
Aero Servicios Ejecutivos Internacionales,\N,SII,ASEISA,MX,N
Aero Biniza,\N,BZS,BINIZA,MX,N
Aero Albatros,\N,ABM,ALBATROS ESPANA,SP,N
Aigle Azur,ZI,AAF,AIGLE AZUR,FR,Y
Aloha Airlines,AQ,AAH,ALOHA,US,Y
Alaska Island Air,\N,AAK,ALASKA ISLAND,US,N
American Airlines,AA,AAL,AMERICAN,US,Y
Aviation Management Corporation,\N,AAM,AM CORP,US,N
Atlantis Airlines (USA),\N,AAO,ATLANTIS AIR,US,N
Aerovista Airlines,\N,AAP,AEROVISTA GROUP,AE,N
Asiana Airlines,OZ,AAR,ASIANA,KS,Y
Askari Aviation,4K,AAS,AL-AAS,PK,Y
Australia Asia Airlines,\N,AAU,AUSTASIA,AS,N
Astro Air International,\N,AAV,ASTRO-PHIL,US,N
Afriqiyah Airways,8U,AAW,AFRIQIYAH,LY,Y
Afrinat International Airlines,Q9,AFU,\N,GA,N
Afric'air Express,\N,AAX,AFREX,IV,N
Allegiant Air,G4,AAY,ALLEGIANT,US,Y
Angus Aviation,\N,AAZ,ANGUS,CA,N
Artem-Avia,\N,ABA,ARTEM-AVIA,UP,N
African Business and Transportations,\N,ABB,AFRICAN BUSINESS-,CF,N
Aban Air,K5,ABE,ABAN,IR,n
Aerial Oy,\N,ABF,SKYWINGS,FI,N
Abakan-Avia,\N,ABG,ABAKAN-AVIA,RS,N
ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,BR,Y
Abaet,\N,ABJ,Abaet,BR,N
Alberta Citylink,\N,ABK,ALBERTA CITYLINK,CA,N
APSA Colombia,\N,ABO,AEROEXPRESO,CO,N
Aerovias Bueno,\N,ABU,AEROBUENO,CO,N
Antrak Air,04,ABV,ANTRAK,GH,N
Airborne Express,GB,ABX,ABEX,US,N
ABX Air,GB,ABX,ABEX,US,N
ATA Brasil,\N,ABZ,ATA-BRAZIL,BR,N
Avcard Services,\N,ACC,\N,UK,N
Academy Airlines,\N,ACD,ACADEMY,US,N
Aero Comondu,\N,ACO,AERO COMONDU,MX,N
Astral Aviation,8V,ACP,ASTRAL CARGO,KE,Y
Air Cess,\N,ACS,\N,LI,N
Air Aurora,\N,AAI,BOREALIS,US,N
Air Cargo Transportation System,\N,ACU,AFRISPIRIT,KE,N
Air Charter Service,\N,ACV,\N,UK,N
Aero Asia International,E4,RSO,AERO ASIA,PK,N
Air Charters,\N,ACX,PARAIR,CA,N
Air Togo,YT,TGA,AIR TOGO,TO,N
Air Somalia,\N,RSM,AIR SOMALIA,SO,N
Atlas Cargo Lines,\N,ACY,ATLAS CARGOLINES,MO,N
Airservices Australia,\N,ADA,AUSCAL,AS,N
Advance Leasing Company,4G,\N,,US,N
Aztec Worldwide Airlines,7A,\N,,US,N
Air Tindi,8T,\N,,CA,Y
Antonov Airlines,\N,ADB,ANTONOV BUREAU,UP,N
Air Atlantic Dominicana,\N,ADC,ATLAN-DOMINICAN,DR,N
Advanced Air Co.,\N,ADD,\N,JA,N
Ada Air,ZY,ADE,ADA AIR,AL,Y
Aerea Flying Training Organization,\N,ADG,AEREA TRAINING,SP,N
Audeli Air,\N,ADI,AUDELI,SP,N
Abicar,\N,ADJ,ABICAR,IV,N
ADC Airlines,Z7,ADK,ADCO,NI,N
Aero Dynamics,\N,ADL,COTSWOLD,UK,N
Aerolineas Dominicanas,\N,ADM,DOMINAIR,DR,N
Aerodienst GmbH,\N,ADN,AERODIENST,GM,N
Aerodiplomatic,\N,ADP,AERODIPLOMATIC,MX,N
Aerodyne,\N,ADY,AERODYNE,US,N
Avion Taxi,\N,ADQ,AIR DATA,CA,N
Adria Airways,JP,ADR,ADRIA,SI,Y
Aviones de Sonora,\N,ADS,SONORAV,MX,N
Air Dorval,\N,ADT,AIR DORVAL,CA,N
Airdeal Oy,\N,ADU,AIRDEAL,FI,N
Advance Air Charters,\N,ADV,ADVANCE,CA,N
Air Andaman,\N,ADW,AIR ANDAMAN,TH,N
Anderson Aviation,\N,ADX,ANDAX,US,N
Air Europa,UX,AEA,EUROPA,SP,Y
Air Southwest Ltd.,\N,ASW,AIRSOUTHWEST,CA,N
Air Special,\N,ASX,AIRSPEC,EZ,N
Aero Benin,EM,AEB,AEROBEN,BN,Y
Aerotrans Airlines,\N,AED,\N,RS,N
Aegean Airlines,A3,AEE,AEGEAN,GR,Y
Aerofumigaciones Sam,\N,AEG,FUMIGACIONES SAM,CI,N
Aeroexpreso Interamericano,\N,AEI,INTERAM,CO,N
Air Express,\N,AEJ,KHAKI EXPRESS,TZ,N
Aerocon,\N,AEK,AEROCON,BL,N
Aero Madrid,\N,AEM,AEROMADRID,SP,N
Aeroenlaces Nacionales,\N,AEN,\N,MX,N
Aeroservicios Ejecutivos Del Occidente,\N,AEO,AERO OCCIDENTE,MX,N
Aerotec,\N,AEP,AEROTEC,SP,N
Air Atlantique,KI,AAG,ATLANTIC,UK,N
Air Europe,PE,AEL,AIR EUROPE,IT,Y
Air Alma,\N,AAJ,AIR ALMA,CA,N
Air Express,\N,AEQ,LUNA,SW,N
Alaska Central Express,KO,AER,ACE AIR,US,Y
ACES Colombia,\N,AES,ACES,CO,Y
Aeronautical Radio of Thailand,\N,AET,AEROTHAI,TH,N
Astraeus,5W,AEU,FLYSTAR,UK,Y
Aeroventas,\N,AEV,AEROVENTAS,MX,N
Aerosvit Airlines,VV,AEW,AEROSVIT,UP,Y
Airway Express,\N,AEX,AVCO,US,N
Air Italy,I9,AEY,AIR ITALY,IT,Y
Aerial Transit Company,\N,AEZ,AERIAL TRANZ,US,N
Alfa Air,\N,AFA,BLUE ALFA,EZ,N
American Falcon,WK,AFB,AMERICAN FALCON,AR,N
Alliance Airlines,QQ,UTY,UNITY,AS,Y
Air Universal,\N,UVS,UNI-LEONE,SL,N
Auvia Air,\N,UVT,AUVIA,ID,N
African West Air,\N,AFC,AFRICAN WEST,SG,N
Airfast Indonesia,\N,AFE,AIRFAST,ID,N
Ariana Afghan Airlines,FG,AFG,ARIANA,AF,Y
Air Fecteau,\N,AFH,FECTO,CA,N
Africaone,\N,AFI,AFRICAWORLD,UG,N
Alliance,\N,AFJ,JAMBO,UG,N
Africa Air Links,\N,AFK,AFRICA LINKS,SL,N
Aeroflot Russian Airlines,SU,AFL,AEROFLOT,RS,Y
Aero Empresa Mexicana,\N,AFO,AERO EMPRESA,MX,N
Air Bosna,JA,BON,AIR BOSNA,BK,Y
Air Bravo,\N,BRF,AIR BRAVO,UG,N
Air Brasd'or,\N,BRL,BRASD'OR,CA,N
Air 500,\N,BRM,BOOMERANG,CA,N
Alba Servizi Aerotrasporti,\N,AFQ,ALBA,IT,N
Air France,AF,AFR,AIRFRANS,FR,Y
Air Partner,\N,ACG,AIR PARTNER,UK,N
Air Caledonie International,SB,ACI,AIRCALIN,FR,Y
Air Caledonia,\N,ACM,WEST CAL,CA,N
Air Guam,\N,AGM,AIR GUAM,US,N
Air Gabon,GN,AGN,GOLF NOVEMBER,GB,N
Air Data,\N,AFS,\N,UK,N
Air Afrique Vacancies,\N,AFV,AFRIQUE VACANCE,IV,N
Air Cargo America,\N,MVM,PEGASUS,US,N
Air Salone,2O,\N,,SL,Y
Air-Angol,\N,NGO,AIR ANGOL,AO,N
Air Nigeria,\N,NGP,REGAL EAGLE,NI,N
Air Cargo Carriers,2Q,SNC,NIGHT CARGO,US,Y
Air Samarkand,\N,SND,ARSAM,UZ,N
Air Senegal International,V7,SNG,AIR SENEGAL,SG,N
Air Sandy,\N,SNY,AIR SANDY,CA,N
Air Namibia,SW,NMB,NAMIBIA,WA,Y
Air Intersalonika,\N,NSK,INTERSALONIKA,GR,N
Air Anatolia,\N,NTL,AIR ANATOLIA,TU,N
